CO,NO2,O3,SO2,PM2.5,PM10,city,overall_aqi
377.18,19.54,37.91,3.34,7.16,7.85,Lee's Summit,32
290.39,4.07,58.65,1.46,5.51,5.68,Bismarck,49
236.99,3.94,51.5,0.97,1.27,3.35,Chula Vista,43
333.79,14.4,55.79,2.06,6.3,7.9,Stamford,47
383.85,21.94,39.7,1.64,10.78,13.95,Cary,35
413.9,32.56,25.39,3.7,11.53,12.4,Cheektowaga,40
243.66,4.97,39.34,0.51,1.81,2.23,Cedar Park,33
433.92,22.96,27.18,0.85,12.66,15.76,Rock Hill,41
841.14,80.2,16.09,30.99,52.86,64.17,Costa Mesa,124
216.96,2.7,62.94,0.45,1.77,2.25,Cambridge,62
507.36,31.19,30.76,2.5,19.8,27.02,Lancaster,58
380.52,27.08,17.17,4.77,7.99,9.7,Broken Arrow,33
353.81,16.11,32.9,0.48,6.2,6.79,Rockford,27
447.27,10.97,25.03,0.04,8.48,10.07,Yakima,27
587.46,25.36,15.38,0.87,21.29,23.45,Knoxville,61
841.14,80.2,16.09,30.99,52.86,64.17,Newport Beach,124
277.04,4.5,65.09,0.7,0.8,1.15,Schenectady,69
1815.8,105.56,9.74,15.5,78.01,103.35,Inglewood,157
253.68,4.41,34.33,0.56,1.65,2.7,Vallejo,29
337.12,16.45,37.55,3.67,6.06,7.48,Joliet,31
310.42,14.05,12.34,2.83,4.91,7.29,Modesto,17
620.84,40.44,9.57,11.33,29.79,38.34,Chino Hills,78
373.84,29.82,22.71,6.62,5.72,10.55,San Leandro,37
841.14,80.2,16.09,30.99,52.86,64.17,Irvine,124
250.34,4.2,35.05,0.27,1.24,2.2,Vacaville,29
343.8,9.51,33.62,0.33,9.45,9.9,Madison,30
233.65,5.06,94.41,1.76,4.85,22.39,Pembroke Pines,148
233.65,5.06,94.41,1.76,4.85,22.39,Lauderhill,148
387.19,25.02,28.97,3.49,7.63,9.88,Aurora,31
230.31,3.17,38.27,0.29,1.42,1.89,San Marcos,32
567.44,16.28,12.52,0.44,8.93,10.42,Kennewick,28
363.83,20.22,33.62,0.78,7.55,8.3,Ann Arbor,28
263.69,3.86,79.39,1.21,4.3,5.13,Suffolk,110
277.04,15.25,46.49,1.57,3.32,6.05,Rancho Cucamonga,39
323.77,16.79,45.06,1.86,6.15,6.88,Fishers,38
360.49,16.28,28.61,0.34,2.87,3.28,Spokane,24
400.54,29.82,33.98,2.65,10.99,14.72,Clifton,37
307.08,11.31,16.45,0.97,2.88,3.39,Richardson,14
283.72,13.71,50.07,2.65,2.28,4.19,Santa Clara,42
263.69,3.9,77.25,1.49,4.62,5.6,Newport News,105
1228.33,91.85,10.64,44.82,68.79,83.01,Long Beach,151
233.65,1.0,86.55,0.83,1.38,2.55,Alexandria,128
243.66,8.48,67.23,5.48,4.25,7.64,Sugar Land,75
320.44,21.94,37.91,5.01,4.13,7.39,Fremont,32
270.37,6.68,34.69,0.65,1.22,1.53,Tacoma,29
270.37,10.88,41.13,2.62,2.04,3.85,El Cajon,34
213.62,6.26,60.8,2.47,1.69,1.93,Manchester,55
226.97,3.77,57.22,0.43,0.75,2.36,Tucson,48
280.38,9.6,48.64,0.84,4.15,4.69,Nashville,41
380.52,21.59,32.54,1.68,7.4,8.85,Saint Charles,27
260.35,7.71,65.09,1.55,2.42,4.11,Pomona,69
283.72,10.71,35.41,2.95,2.27,5.06,Oakland,30
283.72,16.97,54.36,14.07,1.58,2.83,Saint Petersburg,46
223.64,1.84,75.1,0.16,0.5,1.13,Palmdale,100
267.03,0.9,71.53,0.0,0.5,0.72,Anchorage,89
236.99,3.3,88.69,1.27,2.89,9.31,Jacksonville,134
211.95,0.71,76.53,0.09,0.86,4.82,Hesperia,103
1068.12,76.77,9.12,25.99,57.63,67.23,Philadelphia,134
277.04,11.48,18.77,2.24,3.3,4.82,Manteca,15
614.17,46.61,17.88,6.2,17.55,20.97,South Jordan,58
287.06,14.74,57.94,3.46,4.22,7.92,West Covina,49
353.81,32.9,27.9,4.71,6.27,8.19,Skokie,41
233.65,8.74,50.07,0.05,0.71,2.83,Goodyear,42
211.95,3.34,62.94,0.69,2.3,2.71,Warwick,62
200.27,0.86,67.23,1.18,3.29,15.02,Carmichael,75
567.44,16.28,12.52,0.44,8.93,10.42,Pasco,28
273.71,11.14,35.76,2.15,4.31,6.8,Murrieta,30
380.52,12.51,36.48,1.49,7.93,8.58,Des Moines,30
423.91,15.59,41.13,0.69,10.85,13.53,Orem,35
230.31,2.08,67.95,1.04,5.59,7.16,Rapid City,77
440.6,34.27,27.9,2.95,14.61,20.94,East Orange,47
253.68,4.71,56.51,0.03,2.41,3.15,Santa Fe,47
233.65,5.01,91.55,2.15,2.65,11.52,Alafaya,141
267.03,6.94,17.17,0.75,2.54,2.83,Waco,14
260.35,4.2,63.66,0.77,6.42,8.08,Roswell,64
807.76,54.84,12.16,15.74,43.51,54.4,Yorba Linda,106
280.38,7.2,18.06,0.6,2.73,3.33,Mesquite,15
216.96,2.83,69.38,0.72,1.2,1.26,Edinburg,82
380.52,12.51,36.48,1.49,7.93,8.58,Spring Hill,30
240.33,4.03,86.55,2.12,5.58,14.65,Kenner,128
317.1,11.48,57.94,1.43,4.55,5.3,Cranston,49
240.33,2.21,81.54,0.6,3.03,8.25,Mobile,116
283.72,6.77,63.66,0.22,4.8,7.49,Loveland,64
320.44,19.36,43.63,5.9,5.26,6.24,Gary,36
250.34,2.68,67.23,0.25,1.42,2.59,Brandon,75
216.96,4.16,64.37,2.3,4.95,7.82,Portsmouth,66
654.22,54.84,6.71,3.34,22.72,31.03,Yonkers,68
236.99,2.87,81.54,2.12,1.63,5.03,North Charleston,116
293.73,7.97,16.81,0.15,3.98,4.38,North Richland Hills,14
236.99,2.79,37.55,0.32,1.22,1.94,Napa,31
195.27,0.05,73.67,0.16,2.3,12.73,Guaynabo,95
233.65,4.07,97.28,1.79,5.48,25.05,Kendall,155
233.65,2.83,77.25,0.53,4.12,9.37,Pearland,105
620.84,56.21,26.46,17.88,29.27,38.24,Laguna Niguel,77
707.63,59.63,8.4,10.85,20.73,24.02,Southfield,74
216.96,1.33,71.53,0.26,3.14,4.23,Weston,89
210.29,2.36,62.23,0.4,2.61,3.81,Reading,60
310.42,9.85,60.8,1.24,3.78,4.55,Providence,55
323.77,16.79,45.06,1.86,6.15,6.88,Carmel,38
236.99,3.0,95.84,0.91,3.23,6.68,The Villages,152
347.14,15.59,41.13,3.04,17.81,19.31,Woodbury,54
323.77,12.85,64.37,2.03,2.86,4.09,Quincy,66
233.65,3.86,23.6,1.57,2.47,2.84,Longview,20
267.03,12.34,47.21,1.62,1.36,3.27,Scottsdale,40
270.37,6.17,9.39,0.19,1.87,2.8,Beaverton,7
250.34,2.64,34.33,0.05,3.45,3.63,Jonesboro,29
420.57,21.08,14.48,2.53,2.11,8.76,Vancouver,26
287.06,7.2,47.92,0.97,4.66,5.1,Springfield,40
250.34,7.97,82.25,1.24,3.69,12.72,Tampa,118
377.18,14.22,36.84,1.03,7.29,7.62,Davenport,31
313.76,8.05,25.03,0.37,4.36,5.05,Fort Smith,21
614.17,46.61,17.88,6.2,17.55,20.97,Sandy,58
257.02,5.83,80.11,2.53,6.24,17.1,Metairie,112
267.03,9.25,61.51,1.61,1.61,2.57,Santa Monica,57
440.6,21.94,45.78,3.1,13.78,17.53,Highlands Ranch,44
240.33,4.46,35.41,4.05,4.24,5.13,Macon,30
208.62,0.72,65.8,1.22,3.35,9.07,Santa Maria,71
310.42,8.23,11.62,0.41,3.83,4.34,Little Rock,12
433.92,25.71,34.33,7.63,11.1,12.66,Kansas City,36
1815.8,105.56,9.74,15.5,78.01,103.35,Redondo Beach,157
307.08,8.57,46.49,0.47,6.14,7.28,Greenville,39
233.65,5.06,94.41,1.76,4.85,22.39,Davie,148
320.44,12.17,59.37,1.4,4.3,5.68,Pawtucket,51
587.46,19.02,1.81,5.25,15.33,18.1,Arden-Arcade,49
287.06,7.03,43.63,0.12,2.04,2.83,Ogden,36
307.08,10.2,53.64,2.56,8.26,10.31,Winston-Salem,45
210.29,1.37,65.8,0.47,4.91,10.28,Plymouth,71
267.03,8.74,42.92,1.42,1.21,3.23,Gilbert,36
223.64,1.46,54.36,0.06,0.55,2.05,San Tan Valley,46
357.15,13.54,40.41,1.52,5.55,7.15,Shawnee,34
226.97,1.46,76.53,0.31,2.58,5.69,Tallahassee,103
226.97,3.77,57.22,0.43,0.75,2.36,Casas Adobes,48
226.97,2.1,90.12,0.4,2.79,13.23,Kissimmee,137
226.97,2.66,70.81,0.09,0.5,0.83,Santa Clarita,86
357.15,21.59,37.91,1.89,7.41,8.25,Erie,32
263.69,8.05,42.56,0.93,2.26,3.23,Hemet,36
230.31,0.83,79.39,0.1,0.67,1.46,Eugene,110
233.65,5.06,94.41,1.76,4.85,22.39,Sunrise,148
323.77,16.62,50.07,2.03,4.93,7.57,Sparks,42
280.38,9.6,48.64,0.84,4.15,4.69,Antioch,41
343.8,19.19,52.21,2.18,5.96,7.61,Fall River,44
380.52,15.59,18.42,1.13,5.62,8.3,Oxnard,19
290.39,10.11,33.98,1.51,1.7,2.47,Renton,28
233.65,2.61,30.04,0.07,1.1,2.13,Fairfield,25
357.15,22.62,42.56,4.11,4.92,9.78,Palo Alto,36
236.99,3.94,51.5,0.97,1.27,3.35,San Diego,43
233.65,2.25,50.78,0.03,0.5,0.91,San Buenaventura,43
267.03,12.34,47.21,1.62,1.36,3.27,Mesa,40
300.41,12.51,31.47,1.82,2.09,3.14,Seattle,26
226.97,1.48,60.08,0.53,2.41,4.55,Meridian,53
287.06,5.31,57.22,0.63,1.13,1.26,Concord,48
427.25,40.1,17.17,3.01,7.49,9.68,Lake Forest,50
253.68,6.6,60.08,1.27,1.24,2.24,Redwood City,53
236.99,1.37,55.08,0.09,0.64,1.29,Salem,46
667.57,66.49,6.97,6.74,19.13,21.75,Palatine,83
460.63,39.41,13.23,7.87,16.27,20.24,Moreno Valley,51
363.83,19.36,38.62,1.68,11.02,12.97,High Point,35
380.52,17.14,25.75,0.82,8.35,13.03,Lubbock,27
360.49,14.05,31.47,1.55,8.32,9.73,Wichita,27
1441.96,106.93,15.56,15.74,87.92,102.82,Washington,163
267.03,6.94,37.19,1.01,2.89,4.7,Temecula,31
233.65,2.25,62.94,0.51,2.79,5.12,Tuscaloosa,62
350.48,18.51,54.36,1.79,8.94,11.16,Norfolk,46
290.39,17.31,46.49,3.22,5.47,7.14,The Woodlands,39
257.02,5.57,57.22,0.95,3.69,4.29,Murfreesboro,48
307.08,9.08,67.95,1.79,2.08,2.77,Medford,77
243.66,3.56,59.37,0.78,3.32,4.78,Huntsville,51
226.97,2.23,95.84,0.95,4.07,19.96,Coral Springs,152
400.54,29.82,33.98,2.65,10.99,14.72,Paterson,37
211.95,0.66,72.96,0.6,3.37,8.19,Saint George,93
707.63,59.63,8.4,10.85,20.73,24.02,Farmington Hills,74
273.71,5.66,22.17,0.2,2.64,3.18,Killeen,18
223.64,2.66,3.31,4.11,3.06,3.91,Mount Pleasant,9
257.02,11.82,57.94,1.54,1.79,5.31,El Monte,49
410.56,31.87,34.33,7.33,19.89,21.93,Saint Paul,58
201.94,2.96,73.67,1.79,6.19,8.38,Colorado Springs,95
257.02,11.82,57.94,1.54,1.79,5.31,Pasadena,49
473.98,22.96,45.78,102.04,15.83,17.9,Syracuse,80
260.35,7.71,65.09,1.55,2.42,4.11,Chino,69
440.6,21.94,45.78,3.1,13.78,17.53,Centennial,44
343.8,18.68,37.19,1.86,5.78,10.17,Redlands,31
387.19,22.96,45.42,2.77,11.48,13.08,Akron,38
236.99,3.9,53.64,0.03,0.5,1.01,Camarillo,45
2162.93,100.08,6.35,17.88,96.33,123.21,Bellflower,168
370.5,28.79,27.54,3.82,5.21,6.46,Kenosha,35
370.5,22.96,45.78,2.21,6.79,7.2,Lorain,38
303.75,7.37,67.23,0.82,1.66,3.0,Newton,75
280.38,6.26,19.49,0.08,2.6,2.99,Lewisville,16
807.76,54.84,12.16,15.74,43.51,54.4,Anaheim,106
320.44,13.02,11.8,0.85,3.83,4.4,Carrollton,16
287.06,10.54,36.84,3.25,4.63,7.75,Oceanside,31
273.71,6.77,52.21,1.73,18.36,19.99,Greeley,55
283.72,13.71,50.07,2.65,2.28,4.19,San Jose,42
1815.8,105.56,9.74,15.5,78.01,103.35,Carson,157
243.66,2.25,67.23,0.32,1.3,2.44,Bay,75
350.48,15.42,33.26,0.78,6.9,7.24,Lansing,28
320.44,7.28,6.88,0.6,3.96,4.81,Sacramento,12
640.87,29.82,13.05,0.52,19.94,21.28,Nampa,59
223.64,2.08,101.57,1.43,5.47,25.52,Miami,166
1241.68,89.11,18.77,10.25,76.53,94.47,Glen Burnie,156
370.5,13.37,14.31,1.94,5.33,9.4,Folsom,17
774.38,61.01,6.97,12.04,23.26,26.56,Warren,76
253.68,4.71,74.39,2.77,0.8,1.81,Odessa,98
343.8,17.31,52.21,3.43,9.55,11.32,Greensboro,44
260.35,5.1,60.08,1.33,3.14,4.37,Johnson City,53
230.31,1.2,78.68,0.59,2.36,4.87,Brownsville,109
1815.8,105.56,9.74,15.5,78.01,103.35,Lynwood,157
433.92,20.91,57.94,1.46,14.64,19.69,Broomfield,49
260.35,9.77,67.23,1.74,1.33,2.82,Hollywood,75
727.65,50.04,11.62,15.97,18.86,23.64,Detroit,62
257.02,9.77,45.78,4.05,3.39,3.77,Memphis,38
974.66,61.69,2.55,6.14,42.32,56.32,New York,103
841.14,80.2,16.09,30.99,52.86,64.17,Tustin,124
277.04,11.48,18.77,2.24,3.3,4.82,Stockton,15
323.77,12.85,64.37,2.03,2.86,4.09,Boston,66
226.97,1.46,97.28,0.65,3.43,10.67,Port Saint Lucie,155
357.15,22.62,42.56,4.11,4.92,9.78,Union City,36
327.11,18.34,47.92,3.31,4.93,6.03,Dayton,40
393.87,10.8,30.76,0.38,6.48,7.0,Missoula,26
263.69,0.68,70.1,0.08,0.5,0.52,Riverview,84
313.76,9.94,12.16,0.86,5.63,6.52,Visalia,18
310.42,8.23,11.62,0.41,3.83,4.34,North Little Rock,12
233.65,4.93,97.28,2.03,5.53,24.54,Miami Gardens,155
293.73,5.83,33.26,0.15,5.6,6.42,Lawton,28
390.53,20.39,36.12,2.06,6.71,7.92,Overland Park,30
433.92,25.71,34.33,7.63,11.1,12.66,Independence,36
267.03,5.91,49.35,0.59,4.21,4.41,Mount Vernon,41
514.03,54.84,25.39,9.54,21.86,24.66,Pittsburgh,68
383.85,21.94,39.7,1.64,10.78,13.95,Raleigh,35
257.02,5.83,80.11,2.53,6.24,17.1,New Orleans,112
290.39,7.88,32.54,1.21,2.46,4.36,Thousand Oaks,27
280.38,4.67,26.82,0.04,3.2,3.37,Denton,22
420.57,17.82,22.71,1.34,11.07,15.23,Menifee,35
247.0,2.83,78.68,2.8,2.7,3.33,Asheville,109
363.83,11.48,56.51,1.77,19.47,21.12,Sioux Falls,58
247.0,6.17,56.51,1.04,1.14,2.22,Mountain View,47
403.88,17.99,39.7,1.22,15.04,17.96,Centreville,48
233.65,4.93,97.28,2.03,5.53,24.54,Miramar,155
353.81,32.9,27.9,4.71,6.27,8.19,Evanston,41
226.97,7.71,50.78,0.04,0.7,3.11,Surprise,43
196.93,0.8,72.96,0.04,1.13,5.08,Las Cruces,93
283.72,13.37,30.4,3.07,4.33,5.7,Merced,25
236.99,6.86,72.24,2.41,4.17,8.28,League City,91
260.35,7.71,65.09,1.55,2.42,4.11,Upland,69
330.45,13.2,49.35,1.15,8.4,9.86,Richmond,41
267.03,4.07,67.95,0.6,2.0,3.11,Orange,77
587.46,19.02,1.81,5.25,15.33,18.1,Elk Grove,49
226.97,1.02,89.41,0.24,2.84,12.24,Poinciana,136
257.02,11.82,57.94,1.54,1.79,5.31,Alhambra,49
233.65,8.74,50.07,0.05,0.71,2.83,Avondale,42
403.88,27.42,42.2,5.25,19.2,21.54,Brooklyn Park,57
226.97,1.74,77.96,0.42,2.01,3.64,Harlingen,107
413.9,20.05,53.64,1.04,11.53,18.99,Lakewood,45
367.17,18.85,22.89,1.49,8.3,8.82,Norman,26
313.76,11.82,55.79,1.33,4.53,5.59,Hartford,47
614.17,51.41,9.66,12.4,14.58,18.89,Livonia,64
273.71,5.83,21.28,0.1,2.1,2.46,Plano,18
467.3,40.1,11.44,8.46,18.89,24.34,Corona,56
250.34,3.47,57.94,0.28,3.3,3.65,Franklin,49
343.8,21.08,13.05,2.56,3.98,5.09,Gresham,26
273.71,5.14,41.49,1.13,6.01,11.71,Pueblo,35
387.19,18.68,36.48,0.69,8.98,10.41,Youngs,30
460.63,40.78,19.13,7.45,9.16,11.77,Hammond,50
620.84,56.21,26.46,17.88,29.27,38.24,Mission Viejo,77
211.95,0.71,76.53,0.09,0.86,4.82,Victorville,103
297.07,10.71,57.94,2.15,4.84,8.64,Saint Cloud,49
807.76,54.84,12.16,15.74,43.51,54.4,Fullerton,106
247.0,1.31,45.06,0.05,1.78,2.27,San Angelo,38
400.54,29.82,33.98,2.65,10.99,14.72,Passaic,37
267.03,13.02,45.78,2.18,4.46,5.45,Conroe,38
247.0,6.77,35.05,4.05,1.55,1.86,Shreveport,29
260.35,10.97,66.52,3.25,4.85,9.06,Houston,73
587.46,19.02,1.81,5.25,15.33,18.1,Rancho Cordova,49
240.33,2.29,71.53,3.55,3.78,4.83,Pharr,89
373.84,27.76,30.4,3.73,5.56,9.12,Salt Lake City,34
1001.36,59.63,29.68,8.11,46.06,54.64,Denver,111
1815.8,105.56,9.74,15.5,78.01,103.35,Compton,157
247.0,5.66,57.22,0.6,3.08,3.42,Bryan,48
473.98,35.64,18.42,4.95,10.19,13.45,Naperville,44
226.97,2.74,91.55,0.72,4.29,18.79,Lehigh Acres,141
343.8,29.47,17.7,0.6,16.3,20.85,Toledo,51
