CO,NO2,O3,SO2,PM2.5,PM10,city,overall_aqi
1815.8,105.56,9.74,15.5,78.01,103.35,South Gate,157
423.91,15.59,41.13,0.69,10.85,13.53,Provo,35
303.75,9.68,59.37,0.98,5.14,5.64,Waterbury,51
313.76,14.05,42.56,2.8,7.4,9.86,Atlanta,36
1815.8,105.56,9.74,15.5,78.01,103.35,Hawthorne,157
287.06,4.33,42.92,0.11,3.71,4.08,Edmond,36
226.97,1.69,66.52,0.01,0.5,1.24,Simi Valley,73
240.33,12.0,62.23,4.83,4.06,6.78,Atascocita,60
223.64,1.91,95.84,0.72,4.01,20.26,Boca Raton,152
195.27,0.05,73.67,0.16,2.3,12.73,Caguas,95
340.46,13.54,41.84,0.86,7.96,9.64,Roanoke,35
373.84,27.76,30.4,3.73,5.56,9.12,West Jordan,34
297.07,7.63,48.64,0.57,4.42,4.58,Champaign,41
233.65,2.79,65.8,0.86,2.88,6.55,Montgomery,71
240.33,4.71,87.26,0.81,3.44,10.84,Town 'n' Country,130
250.34,7.03,46.49,0.78,1.04,3.56,Chandler,39
343.8,14.57,38.27,1.01,6.19,6.6,Grand Rapids,32
226.97,1.08,75.1,0.22,2.69,7.68,Enterprise,100
347.14,13.37,35.76,3.25,11.45,13.37,Oshkosh,37
250.34,4.97,18.6,0.95,2.86,4.2,New Braunfels,15
307.08,16.28,33.26,2.68,6.56,9.22,Perris,28
260.35,7.71,65.09,1.55,2.42,4.11,Ontario,69
287.06,5.01,65.09,0.65,1.51,1.9,Worcester,69
363.83,25.36,18.42,5.72,6.11,11.34,Pleasanton,31
323.77,12.85,64.37,2.03,2.86,4.09,Somerville,66
273.71,6.6,60.08,0.72,4.09,4.3,Muncie,53
283.72,10.71,35.41,2.95,2.27,5.06,Berkeley,30
297.07,11.48,50.78,1.88,8.25,10.36,Sandy Springs,43
1441.96,106.93,15.56,15.74,87.92,102.82,Silver Spring,163
540.73,58.95,10.82,7.33,13.23,15.56,Arlington Heights,73
223.64,3.9,65.09,1.79,3.94,6.68,Lake Charles,69
383.85,10.63,7.87,1.03,6.6,10.16,Citrus Heights,21
303.75,8.48,67.95,1.55,1.89,2.57,Lynn,77
203.61,0.79,72.96,0.4,0.77,4.44,El Paso,93
467.3,40.1,11.44,8.46,18.89,24.34,Riverside,56
413.9,28.45,37.91,6.8,21.0,23.64,Maple Grove,61
247.0,3.47,35.41,0.23,0.72,0.87,Redding,30
327.11,13.71,60.08,2.74,6.31,7.5,Bridgeport,53
841.14,80.2,16.09,30.99,52.86,64.17,Garden Grove,124
333.79,7.88,35.76,0.98,13.66,15.03,Sioux City,44
233.65,1.89,64.37,0.31,0.99,2.43,Salinas,66
223.64,1.36,94.41,0.5,3.86,19.85,West Palm Beach,148
257.02,4.37,52.93,0.44,3.33,3.49,Clarksville,44
220.3,0.86,47.92,0.03,0.5,0.7,Santa Barbara,40
403.88,19.71,5.5,1.97,6.6,7.7,Arlington,24
467.3,40.1,11.44,8.46,18.89,24.34,Jurupa Valley,56
487.33,25.36,7.06,2.47,7.62,8.64,Victoria,31
260.35,8.4,39.7,1.01,1.97,2.66,Austin,33
226.97,2.83,92.98,0.25,1.98,5.64,Deltona,144
323.77,13.02,59.37,2.74,6.3,7.59,Danbury,51
373.84,17.65,8.05,1.37,6.8,7.68,Fort Worth,22
293.73,10.71,18.95,1.54,2.42,3.44,Portland,16
226.97,1.14,65.8,0.23,0.63,1.1,South San Francisco,71
440.6,34.62,20.56,2.44,10.54,13.91,Saint Louis,43
270.37,9.25,62.23,1.31,2.33,5.04,San Bernardino,60
233.65,4.93,97.28,2.03,5.53,24.54,Hialeah,155
2162.93,100.08,6.35,17.88,96.33,123.21,Whittier,168
273.71,5.44,53.64,0.86,4.04,4.85,Columbia,45
273.71,4.41,32.9,0.09,5.91,6.08,Wichita Falls,27
303.75,18.17,27.18,3.61,4.27,7.16,Livermore,23
397.21,26.05,37.19,6.2,20.99,24.14,Apple Valley,61
243.66,2.53,72.96,0.59,3.31,7.68,Billings,93
303.75,14.22,28.97,1.71,2.32,3.61,Everett,24
283.72,12.0,50.07,2.95,2.2,3.92,Alameda,42
273.71,5.31,72.96,1.03,4.58,5.86,Chesapeake,93
333.79,14.4,55.79,2.06,6.3,7.9,Norwalk,47
1068.12,76.77,9.12,25.99,57.63,67.23,Camden,134
343.8,13.2,36.48,2.3,12.09,14.49,Appleton,39
208.62,0.71,64.37,0.05,1.22,6.23,North Las Vegas,66
297.07,7.03,65.8,0.88,1.61,2.13,Lowell,71
247.0,7.54,72.24,3.55,4.51,8.53,Missouri City,91
514.03,54.84,25.39,9.54,21.86,24.66,Pittsburg,68
195.27,0.05,73.67,0.16,2.3,12.73,Bayamón,95
287.06,8.57,47.21,0.42,4.16,9.27,Albuquerque,40
280.38,7.03,48.64,1.25,4.3,4.52,Evansville,41
290.39,7.71,20.03,0.11,4.21,4.49,Flower Mound,16
310.42,6.08,52.93,2.92,13.5,14.43,Fargo,44
300.41,7.11,65.8,0.77,1.73,2.32,Framingham,71
974.66,61.69,2.55,6.14,42.32,56.32,Newark,103
320.44,9.94,53.64,1.97,6.06,7.75,Lynchburg,45
447.27,20.74,4.47,2.03,9.56,10.97,San Antonio,31
216.96,4.2,63.66,1.33,2.26,2.56,Birmingham,64
220.3,2.06,61.51,0.43,2.12,2.78,Ames,57
230.31,1.69,45.06,0.03,0.56,0.83,Santa Rosa,38
303.75,15.94,36.48,4.11,6.03,8.98,Vista,30
317.1,14.57,47.92,2.65,4.62,11.35,Paradise,40
280.38,11.31,27.54,2.56,3.61,6.57,Escondido,23
243.66,1.91,68.67,1.33,4.14,5.32,McAllen,80
727.65,50.04,11.62,15.97,18.86,23.64,Dearborn,62
447.27,20.91,49.35,1.52,15.68,19.01,Frederick,50
185.25,1.36,70.81,0.97,1.77,2.81,Boulder,86
841.14,80.2,16.09,30.99,52.86,64.17,Santa Ana,124
260.35,9.77,67.23,1.74,1.33,2.82,Los Angeles,75
220.3,2.74,64.37,0.91,3.59,5.98,Saint Joseph,66
410.56,17.65,15.56,0.73,10.48,15.81,Charlotte,34
223.64,1.91,95.84,0.72,4.01,20.26,Deerfield Beach,152
270.37,14.4,38.98,2.35,2.84,4.55,Tracy,33
287.06,10.71,29.33,2.53,1.8,2.51,Federal Way,24
290.39,15.42,55.79,2.3,4.1,11.19,Henderson,47
290.39,5.91,52.93,1.77,8.56,10.15,Duluth,44
260.35,5.14,14.31,0.24,1.69,2.4,Davis,12
267.03,5.83,55.79,1.16,4.48,4.57,Bloomington,47
307.08,11.31,16.45,0.97,2.88,3.39,Garland,14
313.76,10.45,38.62,9.18,4.26,5.19,Olathe,32
397.21,14.91,32.9,0.51,7.92,8.93,Layton,27
195.27,0.05,72.24,0.17,2.54,14.11,Carolina,91
333.79,14.4,42.92,0.72,8.22,8.76,Fort Wayne,36
330.45,7.8,32.19,0.6,5.67,6.13,Topeka,27
280.38,6.26,19.49,0.08,2.6,2.99,Frisco,16
247.0,6.77,35.05,4.05,1.55,1.86,Bossier City,29
273.71,5.83,21.28,0.1,2.1,2.46,Allen,18
240.33,3.17,78.68,1.37,2.26,5.6,Savannah,109
287.06,14.74,57.94,3.46,4.22,7.92,Baldwin Park,49
473.98,34.62,19.49,2.09,14.95,17.08,Rochester,48
580.79,38.39,27.54,5.07,26.42,31.81,Wilmington,72
195.27,0.05,75.82,0.14,1.79,9.22,Mayagüez,102
520.71,32.22,46.49,4.71,19.62,24.67,Thornton,58
257.02,11.82,57.94,1.54,1.79,5.31,East Los Angeles,49
323.77,12.0,62.94,1.85,3.47,5.26,Brockton,62
554.09,35.64,37.55,7.09,31.64,40.49,Dale City,82
260.35,4.33,62.23,0.71,6.67,8.22,Johns Creek,60
327.11,12.85,36.12,2.24,6.7,7.78,Bayonne,30
280.38,14.05,28.25,7.75,2.66,4.93,Walnut Creek,23
380.52,21.76,46.49,2.0,10.27,11.87,New Haven,39
287.06,6.34,35.76,0.94,4.22,14.73,Yuma,30
247.0,7.54,72.24,3.55,4.51,8.53,Spring Valley,91
307.08,4.71,44.35,0.13,5.98,6.14,Waterloo,37
260.35,9.77,67.23,1.74,1.33,2.82,Glendale,75
250.34,7.54,80.82,3.87,6.63,14.64,Baton Rouge,114
367.17,19.19,59.37,3.25,11.9,14.83,Virginia Beach,51
1495.36,85.0,1.97,11.33,78.81,93.97,Bk,157
303.75,5.74,45.42,0.36,11.48,12.39,Eau Claire,38
283.72,6.17,45.78,0.44,7.03,8.66,Athens-Clarke County unified government,38
974.66,61.69,2.55,6.14,42.32,56.32,Jersey City,103
223.64,9.85,55.08,3.64,3.68,5.5,Westminster,46
253.68,6.6,43.27,0.74,1.95,2.42,Round Rock,36
600.82,63.06,7.69,10.85,17.67,22.15,Chicago,78
343.8,14.4,25.75,0.8,6.63,7.0,Oklahoma City,21
377.18,18.17,50.78,2.41,11.73,13.51,Hampton,43
287.06,10.03,32.54,1.25,1.72,2.46,Marysville,27
427.25,40.1,17.17,3.01,7.49,9.68,Waukegan,50
280.38,6.34,52.93,0.64,2.01,3.39,Indio,44
233.65,1.97,69.38,0.29,2.14,5.15,Hoover,82
233.65,5.01,91.55,2.15,2.65,11.52,Orlando,141
330.45,18.34,45.78,1.76,5.31,6.35,Cincinnati,38
413.9,29.13,21.99,2.62,9.14,11.59,Westland,36
240.33,4.93,62.94,0.51,1.18,1.49,Waldorf,62
273.71,5.83,21.28,0.1,2.1,2.46,McKinney,18
614.17,54.84,10.01,4.65,17.97,20.54,Elgin,68
230.31,6.43,61.51,3.13,4.18,7.68,Beaumont,57
257.02,4.84,60.8,1.36,4.77,6.94,Chattanooga,55
267.03,5.31,34.69,0.01,0.57,1.14,Bend,29
350.48,21.76,16.81,3.25,3.83,5.62,Bellevue,27
226.97,1.14,65.8,0.23,0.63,1.1,Daly City,71
317.1,11.14,44.35,0.2,4.84,5.1,Kalamazoo,37
226.97,1.46,70.1,0.51,2.78,7.8,Dothan,84
433.92,20.91,57.94,1.46,14.64,19.69,Arvada,49
854.49,55.52,19.67,6.56,42.55,51.31,Rockville,104
317.1,14.57,47.92,2.65,4.62,11.35,Sunrise Manor,40
270.37,6.17,9.39,0.19,1.87,2.8,Hillsboro,7
410.56,31.87,34.33,7.33,19.89,21.93,Eagan,58
343.8,13.54,45.06,1.03,10.2,11.96,Durham,38
230.31,2.36,13.23,0.19,1.99,2.1,Canton,11
223.64,1.54,94.41,0.51,3.82,19.65,Boynton Beach,148
240.33,2.55,56.51,0.51,2.59,5.27,Jackson,47
226.97,1.0,94.41,0.16,2.27,5.04,Palm Coast,148
250.34,2.21,80.11,2.06,3.6,4.2,German,112
627.52,55.52,11.36,8.46,18.91,20.93,Rochester Hills,69
317.1,15.08,45.06,1.36,5.75,6.45,Indianapolis,38
267.03,12.34,47.21,1.62,1.36,3.27,Tempe,40
226.97,1.74,88.69,0.35,2.68,8.95,Lakeland,134
233.65,5.06,94.41,1.76,4.85,22.39,Plantation,148
293.73,12.0,21.46,1.4,3.86,4.74,Fresno,18
243.66,3.68,87.98,1.1,1.79,6.2,Charleston,132
317.1,14.57,47.92,2.65,4.62,11.35,Las Vegas,40
226.97,4.5,37.91,0.16,5.16,6.44,San Ramon,32
313.76,10.71,59.37,1.09,2.42,3.27,Albany,51
333.79,15.08,40.05,2.47,5.36,5.83,Peoria,33
350.48,21.76,16.81,3.25,3.83,5.62,Kirkland,27
854.49,55.52,19.67,6.56,42.55,51.31,Gaithersburg,104
357.15,14.4,38.98,0.82,8.05,8.63,Flint,33
600.82,63.06,7.69,10.85,17.67,22.15,Cicero,78
297.07,9.0,38.98,1.12,1.1,1.25,Bellingham,33
226.97,3.3,90.84,0.72,4.37,18.77,Fort Myers,139
1108.17,68.55,14.31,5.78,59.62,76.46,Baltimore,138
223.64,1.54,94.41,0.51,3.82,19.65,Delray Beach,148
300.41,4.2,35.76,0.92,8.41,14.35,Amarillo,30
340.46,8.14,39.34,0.86,6.76,7.01,Cedar Rapids,33
320.44,21.94,37.91,5.01,4.13,7.39,Milpitas,32
290.39,4.11,67.95,0.62,0.95,1.24,Nashua,77
290.39,7.63,60.8,0.82,3.92,4.27,Lexington-Fayette  county,55
196.93,0.09,75.1,0.27,2.41,13.27,San Juan,100
230.31,1.61,84.4,0.81,2.82,6.76,Gainesville,123
383.85,10.97,34.33,0.05,9.69,12.87,Boise,31
273.71,7.28,48.64,0.2,1.91,2.61,Reno,41
383.85,10.63,7.87,1.03,6.6,10.16,Roseville,21
320.44,11.65,46.49,0.45,6.71,7.08,South Bend,39
433.92,25.02,39.34,4.35,18.49,24.05,Trenton,56
243.66,1.91,68.67,1.33,4.14,5.32,Mission,80
350.48,9.77,29.33,0.54,11.23,12.16,Lincoln,36
240.33,1.16,85.12,0.75,5.21,18.03,Gulfport,125
297.07,20.91,25.03,7.57,4.02,6.0,Brentwood,26
250.34,4.16,43.99,0.36,1.23,1.53,Clovis,37
333.79,16.28,42.56,1.1,7.39,8.09,Buffalo,36
236.99,2.66,61.51,0.31,2.51,5.32,Auburn,57
250.34,5.83,60.8,0.92,2.0,2.76,Kent,55
447.27,38.73,17.7,5.07,12.52,13.22,Waukesha,48
327.11,10.97,60.08,0.56,7.5,10.05,Longmont,53
287.06,6.17,52.93,0.43,4.15,4.37,Decatur,44
317.1,9.43,52.93,0.43,5.79,7.3,Fort Collins,44
640.87,38.04,9.3,1.03,14.27,17.1,Spokane Valley,47
373.84,27.76,30.4,3.73,5.56,9.12,West Valley City,34
253.68,3.17,16.99,0.18,1.28,1.64,Chico,14
367.17,26.39,27.54,4.11,6.76,7.4,Milwaukee,32
280.38,4.11,13.41,0.06,1.48,1.6,Abilene,11
333.79,7.2,18.95,0.07,5.57,7.72,Fayetteville,18
226.97,3.3,90.84,0.72,4.37,18.77,Cape Coral,139
370.5,12.68,28.61,0.58,13.19,14.64,Omaha,42
393.87,19.71,5.36,2.18,5.19,6.59,Grand Prairie,24
270.37,3.73,35.05,0.22,1.89,2.2,Bakersfield,29
195.27,0.07,25.39,6.32,2.04,2.06,New Britain,21
340.46,13.54,41.13,1.52,6.89,7.5,Columbus,34
253.68,6.6,60.08,1.27,1.24,2.24,San Mateo,53
243.66,3.51,51.5,0.05,1.98,6.12,Rio Rancho,43
226.97,1.14,65.8,0.23,0.63,1.1,San Francisco,71
277.04,15.25,46.49,1.57,3.32,6.05,Fontana,39
310.42,9.43,42.92,0.95,4.31,5.62,O'Fallon,36
774.38,61.01,6.97,12.04,23.26,26.56,Sterling Heights,76
223.64,1.34,73.67,0.82,3.73,9.29,Corpus Christi,95
313.76,10.71,59.37,1.09,2.42,3.27,Troy,51
257.02,6.68,41.84,1.73,3.65,4.72,Warner Robins,35
230.31,4.11,95.84,1.45,4.69,22.68,Fort Lauderdale,152
327.11,7.71,39.7,0.97,5.79,6.08,Iowa City,33
247.0,21.25,55.08,4.83,4.08,4.99,Bethlehem,46
247.0,6.17,56.51,1.04,1.14,2.22,Sunnyvale,47
647.54,48.67,16.63,7.27,30.21,37.1,Toms River,79
223.64,2.66,54.36,0.31,1.72,1.85,Temple,46
283.72,3.34,54.36,0.19,3.72,4.93,Midland,46
667.57,66.49,6.97,6.74,19.13,21.75,Schaumburg,83
181.91,2.68,27.18,0.03,0.5,0.67,San Clemente,23
350.48,14.57,30.76,0.84,8.7,11.26,Gastonia,28
183.58,0.76,61.51,0.01,0.5,0.55,Flagstaff,57
226.97,0.9,92.98,0.28,3.44,16.97,Palm Bay,144
333.79,7.2,18.95,0.07,5.57,7.72,Springdale,18
307.08,20.91,25.39,9.06,5.58,7.79,Turlock,26
343.8,13.2,31.47,2.03,12.54,14.16,Green Bay,40
233.65,3.98,57.94,0.48,2.85,3.2,College Station,49
317.1,16.28,43.63,1.97,3.37,4.12,Racine,36
210.29,1.99,36.12,1.25,0.84,1.37,Melbourne,30
500.68,31.53,13.05,4.77,13.36,14.81,Tulsa,43
360.49,15.59,7.78,1.79,4.28,5.59,Dallas,19
494.0,47.3,24.32,10.13,24.04,26.96,Minneapolis,67
290.39,7.37,58.65,1.09,6.14,6.44,Scranton,49
223.64,2.08,101.57,1.43,5.47,25.52,Miami Beach,166
185.25,0.04,65.09,0.14,2.29,11.92,Ponce,69
407.22,30.5,41.13,2.62,10.41,12.13,Cleveland,38
260.35,8.48,83.69,1.49,4.23,12.99,Clearwater,121
473.98,35.64,18.42,4.95,10.19,13.45,Bolingbrook,44
1108.17,68.55,14.31,5.78,59.62,76.46,Ellicott City,138
240.33,5.57,90.84,1.62,2.87,11.55,Pine Hills,139
807.76,54.84,12.16,15.74,43.51,54.4,Buena Park,106
270.37,9.25,62.23,1.31,2.33,5.04,Rialto,60
1815.8,105.56,9.74,15.5,78.01,103.35,Torrance,157
260.35,10.28,46.49,1.52,1.51,3.87,Phoenix,39
1121.52,47.98,12.52,1.8,72.46,77.85,Parma,154
226.97,1.06,80.11,0.24,5.18,10.53,Lafayette,112
223.64,1.91,95.84,0.72,4.01,20.26,Pompano Beach,152
327.11,14.4,55.79,2.89,4.81,6.46,New Bedford,47
2162.93,100.08,6.35,17.88,96.33,123.21,Downey,168
714.3,65.12,7.51,4.89,27.38,37.32,New Rochelle,81
267.03,2.79,13.41,0.18,2.95,3.21,Yuba City,11
287.06,10.54,36.84,3.25,4.63,7.75,Carlsbad,31
347.14,7.2,40.77,1.73,7.77,10.02,Laredo,34
343.8,14.57,38.27,1.01,6.19,6.6,Wyoming,32
841.14,80.2,16.09,30.99,52.86,64.17,Huntington Beach,124
220.3,1.15,91.55,0.53,4.7,23.09,Homestead,141
230.31,2.91,27.18,0.35,2.67,2.89,Tyler,23
440.6,34.27,27.9,2.95,14.61,20.94,Elizabeth,47
373.84,29.82,22.71,6.62,5.72,10.55,Hayward,37
320.44,13.02,11.8,0.85,3.83,4.4,Irving,16
257.02,8.82,81.54,1.48,3.94,13.24,Largo,116
403.88,16.79,16.63,1.42,7.63,8.12,Lawrence,24
